Bank,Nominell,Etabl.gebyr,Termingebyr,Depotgebyr,Maks belåningsgrad,Maks løpetid,Min Alder,Max Alder
Kassa - Boliglån fra...,6.02,0.0,0.0,0.0,85.0,30,18,90
Kassa - Boliglån fra...,5.22,0.0,0.0,0.0,60.0,30,18,90
Berg Sparebank,6.14,3000.0,50.0,1000.0,90.0,30,18,100
Kassa - Boliglån fra...,5.42,0.0,0.0,0.0,75.0,30,18,90
SpareBank 1 Hallingd...,5.4,0,70.0,750.0,85.0,30,18,33
"NORDEA BANK ABP, FIL...",5.44,0.0,65.0,0.0,90.0,30,18,33
Kvinesdal Sparebank,6.25,2500.0,50.0,500.0,60.0,25,18,100
"NORDEA BANK ABP, FIL...",5.44,0.0,65.0,0.0,90.0,30,18,39
SpareBank 1 Hallingd...,5.9,0,70.0,750.0,75.0,30,34,100
Berg Sparebank,5.94,3000.0,50.0,1000.0,75.0,30,18,99
Kvinesdal Sparebank,5.74,2500.0,50.0,500.0,75.0,25,18,33
SpareBank 1 Østfold ...,6.19,3000.0,60.0,0.0,75.0,30,34,100
Rørosbanken Røros Sp...,6.5,1950.0,50.0,0.0,75.0,30,18,100
Etnedal Sparebank,5.4,2000.0,50.0,750.0,85.0,25,18,100
Rørosbanken Røros Sp...,6.5,1950.0,50.0,0.0,75.0,30,18,100
Sparebanken Vest,5.69,3590.0,69.0,0.0,85.0,30,18,33
Flekkefjord Spareban...,8.85,3000.0,0.0,750.0,75.0,1,18,100
Etnedal Sparebank,5.2,2000.0,50.0,750.0,85.0,25,18,33
SpareBank 1 Ringerik...,5.6,2000.0,50.0,1000.0,50.0,25,18,100
Rørosbanken Røros Sp...,6.7,2950.0,65.0,0,60.0,30,18,100
Etnedal Sparebank,5.5,2000.0,50.0,750.0,85.0,25,18,33
Sparebanken Narvik,5.49,2000.0,35.0,0.0,75.0,30,18,100
SpareBank 1 Østfold ...,6.19,3000.0,60.0,0.0,75.0,30,34,100
Rørosbanken Røros Sp...,6.7,2950.0,65.0,0,75.0,30,18,100
JBF Bank og Forsikri...,5.59,3200.0,65.0,1000.0,90.0,30,18,33
OBOS-banken AS,8.48,5000.0,35.0,0,90.0,3,18,100
OBOS-banken AS,8.33,5000.0,35.0,0,90.0,3,18,100
Skudenes & Aakra Spa...,7.04,0,60.0,750.0,75.0,25,18,100
